_id,year_month,unique_visitors,sessions,pageviews,pageviews_per_session,average_session_duration_s,bounces
1,2023-06,3047,3513,18824,5.4,198.7,1219
2,2023-07,3146,3639,19959,5.5,211.4,1278
3,2023-08,3857,4359,20214,4.6,173.7,2022
4,2023-09,3365,3921,23322,5.9,244.7,1265
5,2023-10,3963,4775,33318,7,327.8,1546
6,2023-11,4835,5924,43910,7.4,324,2105
7,2023-12,3111,3880,21418,5.5,268.4,1342
8,2024-01,6406,7031,290190,41.3,600.6,2043
9,2024-02,4796,5615,42586,7.6,263.4,2167
10,2024-03,5098,6022,34181,5.7,275.9,2229
11,2024-04,4777,5693,32995,5.8,252.1,2025
12,2024-05,4002,4525,22655,5,189.9,1827
13,2024-06,5080,5567,19278,3.5,127.4,3129
14,2024-07,3737,4218,18599,4.4,174,1657
15,2024-08,4525,4997,18089,3.6,134.3,2327
16,2024-09,5001,5823,29072,5,210.7,2380
17,2024-10,2624,3031,16540,5.5,244.5,1235
18,2025-01,1826,2087,10047,4.8,198.2,745
19,2025-02,5126,5974,33067,5.5,225.4,2294
20,2025-03,6083,6989,33184,4.7,212.2,2731
21,2025-04,5869,7259,43516,6,306,2444
34,2025-05,7668,8262,23213,2.8,115.5,4981
67,2025-06,7441,8111,23416,2.9,155.1,4428
100,2025-07,5243,5916,23551,4,161.5,2643
133,2025-08,8430,9309,32930,3.5,156.4,4395
166,2025-09,18310,19338,49139,2.5,100.5,12742
199,2025-10,64153,65058,100021,1.5,58.4,54699
232,2025-11,19076,20211,56206,2.8,109.5,14134
265,2025-12,17982,18703,36018,1.9,59.8,14399
298,2026-01,13144,13855,32817,2.4,90.2,9953
331,2026-02,16694,17657,41236,2.3,81.7,13089
364,2026-03,16830,17473,36342,2.1,137.3,12942
